Name,Team,Batting_Hand,Bowling_Type,Role,Matches,Innings,Not Outs,Runs,Highest,Average,BF,SR,100,200,50,4,6,Innings_Bowl,Balls,Runs_Given,Wickets,BBI,Economy,B_Average,BSR,5W,10W
Adam Zampa,Royal Challengers Bangalore,Right,Right-arm legbreak,BOWLER,14,2,0,5,5,2.5,8,62.5,0,0,0,1,0,14,287,370,21,Jun-19,7.74,17.62,13.67,1,0
Murugan Ashwin,Punjab Kings,Right,Right-arm legbreak,BOWLER,31,6,2,8,4,2,12,66.67,0,0,0,0,0,31,606,784,25,Mar-21,7.76,31.36,24.24,0,0
Mustafizur Rahman,Rajasthan Royals,Left,Left-arm fast,BOWLER,24,2,1,1,1,1,3,33.33,0,0,0,0,0,24,547,685,24,Mar-16,7.51,28.54,22.79,0,0
Ravisrinivasan Sai Kishore,Chennai Super Kings,Left,Left-arm orthodox,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Hazlewood,Chennai Super Kings,Left,Right-arm fast,BOWLER,3,0,0,0,0,0,0,0,0,0,0,0,0,3,60,64,1,Jan-19,6.4,64,60,0,0
T Natarajan,Sunrisers Hyderabad,Left,Left-arm fast,BOWLER,22,3,3,3,3,0,5,60,0,0,0,0,0,22,453,619,18,Feb-24,8.2,34.39,25.17,0,0
Anukul Roy,Mumbai Indians,Left,Left-arm orthodox,ALL ROUNDER,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,11,1,01-Nov,5.5,11,12,0,0
Hari Nishanth,Chennai Super Kings,Left,Right-arm offbreak,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Jansen,Mumbai Indians,Right,Left-arm fast,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arjun Tendulkar,Mumbai Indians,Left,Left-arm fast,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KM Asif,Chennai Super Kings,Right,Right-arm medium,BOWLER,2,0,0,0,0,0,0,0,0,0,0,0,0,2,36,75,3,Feb-43,12.5,25,12,0,0
Kyle Jamieson,Royal Challengers Bangalore,Right,Right-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lungi Ngidi,Chennai Super Kings,Right,Right-arm fast,BOWLER,11,0,0,0,0,0,0,0,0,0,0,0,0,11,252,323,20,04-Oct,7.69,16.15,12.6,0,0
Akash Singh,Rajasthan Royals,Right,Left-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuldip Yadav,Rajasthan Royals,Right,,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harishankar Reddy,Chennai Super Kings,Right,Right-arm medium,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Malan,Punjab Kings,Left,Right-arm legbreak,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virat Singh,Sunrisers Hyderabad,Left,Right-arm legbreak,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavan Deshpande,Royal Challengers Bangalore,Left,Right-arm offbreak,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suyash Prabhudessai,Royal Challengers Bangalore,Right,,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shahbaz Ahmed,Royal Challengers Bangalore,Left,Left-arm orthodox,ALL ROUNDER,2,1,1,1,1,0,1,100,0,0,0,0,0,2,36,44,2,Feb-26,7.33,22,18,0,0
Daniel Sams,Royal Challengers Bangalore,Right,Left-arm fast,ALL ROUNDER,3,1,0,0,0,0,2,0,0,0,0,0,0,3,72,114,0,0/30,9.5,0,0,0,0
Rajat Patidar,Royal Challengers Bangalore,Right,Right-arm offbreak,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chetan Sakariya,Rajasthan Royals,Left,Left-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anmolpreet Singh,Mumbai Indians,Right,Right-arm offbreak,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khaleel Ahmed,Sunrisers Hyderabad,Right,Left-arm fast,BOWLER,17,2,0,0,0,0,3,0,0,0,0,0,0,17,381,567,27,Mar-30,8.93,21,14.11,0,0
Mohammed Azharuddeen,Royal Challengers Bangalore,Right,,WICKET KEEPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Srikar Bharat,Royal Challengers Bangalore,Right,,WICKET KEEPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Praveen Dubey,Delhi Capitals,Right,Right-arm legbreak,BOWLER,3,1,1,7,7,0,13,53.85,0,0,0,0,0,3,48,72,0,0/14,9,0,0,0,0
Ishan Porel,Punjab Kings,Right,Right-arm medium,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anuj Rawat,Rajasthan Royals,Left,,WICKET KEEPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yudhvir Singh,Mumbai Indians,Right,Right-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darshan Nalkande,Punjab Kings,Right,Right-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manimaran Siddharth,Delhi Capitals,Right,Left-arm orthodox,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukman Meriwala,Delhi Capitals,Left,Left-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripal Patel,Delhi Capitals,Right,Right-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riley Meredith,Punjab Kings,Right,Right-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhagath Varma,Chennai Super Kings,Right,Right-arm offbreak,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utkarsh Singh,Punjab Kings,Left,Right-arm offbreak,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lalit Yadav,Delhi Capitals,Right,Right-arm offbreak,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Seifert,Kolkata Knight Riders,Right,,WICKET KEEPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohsin Khan,Mumbai Indians,Left,Left-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lockie Ferguson,Kolkata Knight Riders,Right,Right-arm fast,BOWLER,14,3,3,44,24,0,30,146.67,0,0,0,4,1,14,299,424,11,Mar-15,8.51,38.55,27.18,0,0
Harpreet Brar,Punjab Kings,Left,Left-arm orthodox,ALL ROUNDER,3,1,1,20,20,0,12,166.67,0,0,0,2,1,3,54,89,0,0/24,9.89,0,0,0,0
Sandeep Warrier,Kolkata Knight Riders,Right,Right-arm medium,BOWLER,4,0,0,0,0,0,0,0,0,0,0,0,0,4,90,119,2,Feb-31,7.93,59.5,45,0,0
Avesh Khan,Delhi Capitals,Right,Right-arm fast,BOWLER,9,1,1,4,4,0,3,133.33,0,0,0,1,0,9,180,299,5,Feb-29,9.97,59.8,36,0,0
Jalaj Saxena,Punjab Kings,Right,Right-arm offbreak,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Allen,Punjab Kings,Right,Left-arm orthodox,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhye Richardson,Punjab Kings,Right,Right-arm fast,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shahrukh Khan,Punjab Kings,Right,Right-arm offbreak,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saurabh Kumar,Punjab Kings,Left,Left-arm orthodox,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaibhav Arora,Kolkata Knight Riders,Right,Right-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venkatesh Iyer,Kolkata Knight Riders,Left,Right-arm medium,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arshdeep Singh,Punjab Kings,Left,Left-arm fast,BOWLER,11,1,0,0,0,0,3,0,0,0,0,0,0,11,209,327,12,Mar-23,9.39,27.25,17.42,0,0
